Part Num,Ref IDs,Value,Cost,Num Parts,Tot Cost,JPartNum,KPartNum,Dist1,Dist1 Part#,Dist2,Dist2 Part#,Dist3,Dist3 Part#
1,U201 U301 U401,PCA9655E,0.860,3,2.580,ECHP0010,CHPPCA9655E,Mouser,863-PCA9655EDWR2G
2,U502,MC9S08SH32-28,1.590,1,1.590,EPRC0004,PRCMC9S08SH32xWL,Mouser,841-MC9S08SH32CWL
3,R503 R506,383,0.020,2,0.040,ERES0025,RES383.O0805,Mouser,292-383-RC
4,P506,CONN_2,0.053,1,0.053,ECON0040,CON1x2x2.54mmVTTH,Mouser,649-93287-202HLF
5,P508,CONN_4,0.130,1,0.130,ECON0046,CON1x4x2.54mmVTTH,Mouser,649-68000-104HLF
6,D501,LED,0.060,1,0.060,ELED0004,LEDRED5mmF2.0V,Mouser,78-TLHR5400
7,P502,CONN_3X2,0.103,1,0.103,ECON0044,CON2x3x2.54mmVTTH,Mouser,649-68602-406HLF
8,K401-K403,CONN_3,0.090,3,0.270,ECON0045,CON1x3x2.54mmVTTH,Mouser,649-68000-203HLF
9,RV501,1.00K,0.140,1,0.140,EPOT0002,POT1.00K6mmTH,Mouser,858-36PR1KLF
10,C504 C506,1uF,0.051,2,0.102,ECAP0011,CAP1.00u080550V,Mouser,81-GRM219F51H105ZA1J
11,U202-U208 U302-U308 U402-U408,NTJD5121N,0.064,21,1.344,EFET0004,FET2N60V295.m1.60O,Mouser,863-NTJD5121NT2G
12,P503-P504 P509-P512,CONN_4,0.105,6,0.630,ECON0052,CON1x4x2.54mmRATHL,Mouser,571-6404554
13,U501 U503,NX5DV330,0.311,2,0.622,ECHP0009,CHPNX5DV330,Mouser,771-NX5DV330D-112
14,DSP201-DSP202 DSP301-DSP302 DSP401-DSP402,7SEGDISP,1.250,6,7.500,EDIS0004,DISCH1x1,Mouser,859-LTS-3403LE
15,C503 C505 C507,.1uF,0.022,3,0.066,ECAP0005,CAP100.n0805,Mouser,80-C0805C104M5RACTM,Mouser,581-08055C104M
16,R501-R502 R504-R505,3.32K,0.020,4,0.080,ERES0021,RES3.32K0805,Mouser,292-3.32K-RC
17,P101-P107 P501 P505 P507,TST,0.00,0,0.00,,,PartNotInDB
18,VR501,AME1084,1.000,1,1.000,EVRN0003,VRNADJ5.00A7.0V,Mouser,827-AME1084ACDTZ
19,C501-C502,10uF,0.078,2,0.156,ECAP0010,CAP10.0u080516V,Mouser,581-0805YD106K
,P101 P102 P103 P104 P105 P106 P107 P501 P505 P507,,,,16.466
